ID;Iconography ;Motif represented;Technique ;Narrow juxtaposition;With overlap;Number of overlaps;Type of overlap;Phases involved;Cultural attribution;Decorative phase
PM.I.249;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.250;Line;Curved;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.251;Line;Curved;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.252;Non figurative;Stain;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.253;Line;Straight;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetian ;2
PM.I.254;Line;Straight;Engraved;;Yes;1;Overlapping without consideration;3&4;Lower Magdalenian ;4
PM.I.255;Line;Straight;Paint;;Yes;1;Overlapping without consideration;2&4;Gravetian ;2
PM.I.256;Sign;"""Comet""";Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.257;Line;Straight;Engraved;;Yes;1;Overlapping with integration;2&4;Lower Magdalenian ;4
PM.I.258;Sign;Quadrangular;Paint;;Yes;1;Overlapping with integration;2&4;Gravetian ;2
PM.I.259;Sign;"""Comet""";Engraved;;Yes;1;Overlapping without consideration;4;Lower Magdalenian ;4
PM.I.260;Sign;Sprig;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.261;Line;Curved;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.262;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.263;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.264;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.265;Sign;Quadrangular;Paint;;Yes;1;Overlapping without consideration;3&4;Gravetto-solutrean ;3
PM.I.266;Zoomorph;Indeterminate;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.267;Line;Angular line;Paint;;Yes;2;Overlapping without consideration;2&3/2&4;Gravetian ;2
PM.I.268;Dot;Dot;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.269;Line;Straight;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.270;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.271;Zoomorph;Deer;Engraved;;Yes;3;Overlapping without consideration;3&4/4;Lower Magdalenian ;4
PM.I.272;Zoomorph;Cervid;Engraved;;Yes;1;Overlapping without consideration;4;Lower Magdalenian ;4
PM.I.273;Line;Straight;Paint;Yes;;;;;Gravetian ;2
PM.I.274;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.275;Non figurative;Stick;Paint;;Yes;1;Overlapping without consideration;2&4;Gravetian ;2
PM.I.276;Dot;Dot;Paint;;Yes;1;Overlapping without consideration;2&4;Gravetian ;2
PM.I.277;Non figurative;Stick;Paint;;Yes;1;Overlapping without consideration;2&4;Gravetian ;2
PM.I.278;Zoomorph;Indeterminate;Engraved;;Yes;3;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.279;Line;Straight;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.280;Dot;"
Point cloud";Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.281;Dot;"
Row of stitches";Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.282;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.283;Line;Bundle of lines;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.284;Sign;Quadrangular;Paint;;Yes;1;Overlapping without consideration;3&4;Gravetto-solutrean ;3
PM.I.285;Line;Streak;Engraved;;Yes;1;Overlapping with integration;3&4;Lower Magdalenian ;4
